"short_name","age","height_cm","weight_kg","overall","potential","value_eur","wage_eur","release_clause_eur","club_name","league_name","club_position","nationality_name","preferred_foot","gender","eficiencia_salarial","indice_proyeccion","gap_mercado","general_position","overall_tier"
"C. Lenglet",28,186,81,77,79,10500000,105000,NA,"Aston Villa","Premier League","SUB","France","Left","Male",0.000733326349272864,0.0714285714285714,NA,"Otros","Medio (75-79)"
"Y. Mina",28,195,94,77,79,10500000,47000,18600000,"Fiorentina","Serie A","RES","Colombia","Right","Male",0.00163826301568052,0.0714285714285714,8100000,"Otros","Medio (75-79)"
"N. Elvedi",26,189,84,77,79,11500000,26000,20400000,"Borussia Mönchengladbach","Bundesliga","SUB","Switzerland","Right","Male",0.00296142456059382,0.0769230769230769,8900000,"Otros","Medio (75-79)"
"N. Amiri",26,180,77,77,79,1.3e+07,47000,23100000,"Bayer 04 Leverkusen","Bundesliga","SUB","Germany","Right","Male",0.00163826301568052,0.0769230769230769,10100000,"Otros","Medio (75-79)"
"M. Niakhaté",27,190,85,77,79,1.1e+07,55000,21700000,"Nottingham Forest","Premier League","SUB","Senegal","Left","Male",0.00139997454591735,0.0740740740740741,10700000,"Otros","Medio (75-79)"
"J. Ryerson",25,183,82,77,79,1.2e+07,36000,21300000,"Borussia Dortmund","Bundesliga","SUB","Norway","Right","Male",0.00213882947695897,0.08,9300000,"Otros","Medio (75-79)"
"M. Turner",29,190,79,77,79,8500000,47000,16800000,"Nottingham Forest","Premier League","GK","United States","Right","Male",0.00163826301568052,0.0689655172413793,8300000,"Portero","Medio (75-79)"
"Domingos Duarte",28,190,78,77,79,10500000,27000,22800000,"Getafe","La Liga","RCB","Portugal","Right","Male",0.00285174623162105,0.0714285714285714,12300000,"Defensa","Medio (75-79)"
"M. Munetsi",27,188,83,77,79,11500000,23000,23900000,"Stade de Reims","Ligue 1","LDM","Zimbabwe","Right","Male",0.00334768053562889,0.0740740740740741,12400000,"Otros","Medio (75-79)"
"S. Kalajdžić",25,200,90,77,79,13500000,63000,26700000,"Wolverhampton Wanderers","Premier League","SUB","Austria","Right","Male",0.00122220282217743,0.08,13200000,"Otros","Medio (75-79)"
"Andreas Pereira",27,177,70,77,78,1.2e+07,71000,23700000,"Fulham","Premier League","LCM","Brazil","Right","Male",0.00108449176772158,0.037037037037037,11700000,"Centrocampista","Medio (75-79)"
"R. Loftus-Cheek",27,191,88,77,78,1.2e+07,56000,21300000,"Milan","Serie A","LCM","England","Right","Male",0.00137497544686702,0.037037037037037,9300000,"Centrocampista","Medio (75-79)"
"Fábio Cardoso",29,187,81,77,78,9500000,14000,19700000,"Porto","Liga Portugal","SUB","Portugal","Right","Male",0.00549960717091636,0.0344827586206897,10200000,"Otros","Medio (75-79)"
"A. Miranchuk",27,182,74,77,78,12500000,49000,22200000,"Atalanta","Serie A","RES","Russia","Left","Male",0.0015713965021122,0.037037037037037,9700000,"Otros","Medio (75-79)"
"G. Maripán",29,190,83,77,78,9500000,45000,18800000,"Monaco","Ligue 1","CB","Chile","Right","Male",0.00171107308726473,0.0344827586206897,9300000,"Defensa","Medio (75-79)"
"P. Billing",27,197,80,77,78,1.2e+07,47000,23700000,"AFC Bournemouth","Premier League","LDM","Denmark","Left","Male",0.00163826301568052,0.037037037037037,11700000,"Otros","Medio (75-79)"
"L. Boyé",27,183,79,77,78,12500000,23000,28400000,"Granada","La Liga","RS","Argentina","Right","Male",0.00334768053562889,0.037037037037037,15900000,"Delantero","Medio (75-79)"
"T. Castagne",27,185,80,77,78,1.1e+07,65000,21700000,"Fulham","Premier League","SUB","Belgium","Right","Male",0.00118459716004369,0.037037037037037,10700000,"Otros","Medio (75-79)"
"Guruzeta",26,188,77,77,78,12500000,29000,27200000,"Athletic Club","La Liga","ST","Spain","Right","Male",0.00265508085928071,0.0384615384615385,14700000,"Delantero","Medio (75-79)"
"M. Grujić",27,191,88,77,78,1.2e+07,15000,24900000,"Porto","Liga Portugal","RCM","Serbia","Right","Male",0.00513299113392441,0.037037037037037,12900000,"Centrocampista","Medio (75-79)"
"Ç. Söyüncü",27,185,82,77,78,10500000,43000,22300000,"Atlético Madrid","La Liga","SUB","Turkey","Right","Male",0.00179065603125509,0.037037037037037,11800000,"Otros","Medio (75-79)"
"K. Tsimikas",27,179,70,77,78,1.1e+07,80000,21200000,"Liverpool","Premier League","SUB","Greece","Left","Male",0.000962487968900389,0.037037037037037,10200000,"Otros","Medio (75-79)"
"Gabriel Strefezza",26,168,63,77,78,12500000,21000,23400000,"Lecce","Serie A","RW","Brazil","Right","Male",0.0036664920718061,0.0384615384615385,10900000,"Delantero","Medio (75-79)"
"S. Lukić",26,183,77,77,78,12500000,71000,24700000,"Fulham","Premier League","SUB","Serbia","Right","Male",0.00108449176772158,0.0384615384615385,12200000,"Otros","Medio (75-79)"
"M. Gómez",26,186,84,77,78,12500000,52000,NA,"Cádiz","La Liga","SUB","Uruguay","Right","Male",0.00148074075498548,0.0384615384615385,NA,"Otros","Medio (75-79)"
"De Frutos",26,176,71,77,78,12500000,22000,27200000,"Rayo Vallecano","La Liga","SUB","Spain","Right","Male",0.00349984091632199,0.0384615384615385,14700000,"Otros","Medio (75-79)"
"Pepe Reina",40,188,92,77,77,1200000,14000,2500000,"Villarreal","La Liga","SUB","Spain","Right","Male",0.00549960717091636,0,1300000,"Otros","Medio (75-79)"
"J. Milner",37,175,70,77,77,3300000,52000,6300000,"Brighton & Hove Albion","Premier League","SUB","England","Right","Male",0.00148074075498548,0,3e+06,"Otros","Medio (75-79)"
"Raúl García",36,184,83,77,77,3600000,22000,7600000,"Athletic Club","La Liga","SUB","Spain","Right","Male",0.00349984091632199,0,4e+06,"Otros","Medio (75-79)"
"Marcano",36,190,78,77,77,1900000,10000,3800000,"Porto","Liga Portugal","LCB","Spain","Left","Male",0.0076992300769923,0,1900000,"Defensa","Medio (75-79)"
"Willian",34,175,77,77,77,4900000,71000,9300000,"Fulham","Premier League","SUB","Brazil","Right","Male",0.00108449176772158,0,4400000,"Otros","Medio (75-79)"
"C. Stuani",36,186,76,77,77,3600000,22000,7600000,"Girona","La Liga","ST","Uruguay","Right","Male",0.00349984091632199,0,4e+06,"Delantero","Medio (75-79)"
"A. Budimir",31,190,75,77,77,9e+06,31000,18900000,"Osasuna","La Liga","ST","Croatia","Left","Male",0.0024837908454566,0,9900000,"Delantero","Medio (75-79)"
"A. Cresswell",33,175,66,77,77,5500000,56000,10500000,"West Ham United","Premier League","SUB","England","Left","Male",0.00137497544686702,0,5e+06,"Otros","Medio (75-79)"
"Ł. Skorupski",32,187,84,77,77,5e+06,24000,9000000,"Bologna","Serie A","GK","Poland","Right","Male",0.00320819965834757,0,4e+06,"Portero","Medio (75-79)"
"D. Blind",33,180,72,77,77,5e+06,25000,10500000,"Girona","La Liga","LCB","Netherlands","Left","Male",0.0030798768049278,0,5500000,"Defensa","Medio (75-79)"
"Jaume Costa",35,171,62,77,77,3200000,18000,6700000,"Mallorca","La Liga","LWB","Spain","Left","Male",0.00427754013665907,0,3500000,"Defensa","Medio (75-79)"
"C. Trimmel",36,189,82,77,77,2300000,23000,3900000,"FC Union Berlin","Bundesliga","SUB","Austria","Right","Male",0.00334768053562889,0,1600000,"Otros","Medio (75-79)"
"I. Gueye",33,174,66,77,77,5e+06,37000,9500000,"Everton","Premier League","CDM","Senegal","Right","Male",0.00208102483716656,0,4500000,"Centrocampista","Medio (75-79)"
"C. Dawson",33,188,77,77,77,5e+06,55000,9500000,"Wolverhampton Wanderers","Premier League","RCB","England","Right","Male",0.00139997454591735,0,4500000,"Defensa","Medio (75-79)"
"D. Ings",30,178,73,77,77,10500000,67000,20000000,"West Ham United","Premier League","SUB","England","Right","Male",0.00114923657855853,0,9500000,"Otros","Medio (75-79)"
"Y. Rakitskyi",33,180,83,77,77,5e+06,1000,11000000,"Shakhtar Donetsk","Premier League","RCB","Ukraine","Left","Male",0.0769230769230769,0,6e+06,"Defensa","Medio (75-79)"
"M. Ducksch",29,188,79,77,77,10500000,30000,18900000,"Werder Bremen","Bundesliga","LS","Germany","Right","Male",0.00256658111396287,0,8400000,"Delantero","Medio (75-79)"
"F. Lejeune",32,189,89,77,77,7e+06,20000,14700000,"Rayo Vallecano","La Liga","LCB","France","Right","Male",0.00384980750962452,0,7700000,"Defensa","Medio (75-79)"
"N. Redmond",29,173,69,77,77,10500000,49000,21000000,"Burnley","Premier League","SUB","England","Right","Male",0.0015713965021122,0,10500000,"Otros","Medio (75-79)"
"D. D'Ambrosio",34,180,75,77,77,3400000,43000,5800000,"Monza","Serie A","SUB","Italy","Right","Male",0.00179065603125509,0,2400000,"Otros","Medio (75-79)"
"M. Riemann",34,186,83,77,77,1800000,19000,3200000,"VfL Bochum 1848","Bundesliga","GK","Germany","Right","Male",0.00405241829377401,0,1400000,"Portero","Medio (75-79)"
"J. Draxler",29,185,77,77,77,10500000,75000,19400000,"Paris Saint Germain","Ligue 1","RES","Germany","Right","Male",0.00102665297796029,0,8900000,"Otros","Medio (75-79)"
"E. Dier",29,188,90,77,77,9e+06,68000,17100000,"Tottenham Hotspur","Premier League","RES","England","Right","Male",0.00113233628917222,0,8100000,"Otros","Medio (75-79)"
"G. Caprari",29,176,72,77,77,10500000,53000,17900000,"Monza","Serie A","LF","Italy","Right","Male",0.00145280277730609,0,7400000,"Delantero","Medio (75-79)"
"R. Knoche",31,190,77,77,77,7e+06,31000,11900000,"FC Union Berlin","Bundesliga","CB","Germany","Right","Male",0.0024837908454566,0,4900000,"Defensa","Medio (75-79)"
"I. Balliu",31,172,63,77,77,7500000,20000,15800000,"Rayo Vallecano","La Liga","RB","Albania","Right","Male",0.00384980750962452,0,8300000,"Defensa","Medio (75-79)"
"D. Suárez",35,173,68,77,77,3200000,19000,6700000,"Getafe","La Liga","RB","Uruguay","Right","Male",0.00405241829377401,0,3500000,"Defensa","Medio (75-79)"
"C. Kramer",32,191,80,77,77,7e+06,26000,11900000,"Borussia Mönchengladbach","Bundesliga","SUB","Germany","Right","Male",0.00296142456059382,0,4900000,"Otros","Medio (75-79)"
"J. Blaswich",32,193,89,77,77,5e+06,35000,8500000,"RB Leipzig","Bundesliga","SUB","Germany","Right","Male",0.00219993714465301,0,3500000,"Otros","Medio (75-79)"
"Juan Bernat",30,170,67,77,77,9e+06,61000,NA,"Benfica","Liga Portugal","SUB","Spain","Left","Male",0.00126227438894444,0,NA,"Otros","Medio (75-79)"
"B. Davies",30,181,76,77,77,8500000,65000,16200000,"Tottenham Hotspur","Premier League","SUB","Wales","Left","Male",0.00118459716004369,0,7700000,"Otros","Medio (75-79)"
"J. Ferri",31,173,73,77,77,7500000,23000,15000000,"Montpellier","Ligue 1","RDM","France","Right","Male",0.00334768053562889,0,7500000,"Otros","Medio (75-79)"
"A. Plea",30,181,82,77,77,1e+07,29000,17000000,"Borussia Mönchengladbach","Bundesliga","CAM","France","Right","Male",0.00265508085928071,0,7e+06,"Centrocampista","Medio (75-79)"
"Y. Abdelhamid",35,190,83,77,77,2800000,16000,5600000,"Stade de Reims","Ligue 1","LCB","Morocco","Left","Male",0.00481219923754765,0,2800000,"Defensa","Medio (75-79)"
"Manu Trigueros",31,178,75,77,77,8500000,31000,17900000,"Villarreal","La Liga","SUB","Spain","Right","Male",0.0024837908454566,0,9400000,"Otros","Medio (75-79)"
"M. Weiser",29,177,70,77,77,9500000,25000,17100000,"Werder Bremen","Bundesliga","RWB","Germany","Right","Male",0.0030798768049278,0,7600000,"Defensa","Medio (75-79)"
"L. Paredes",29,180,75,77,77,10500000,58000,17900000,"Roma","Serie A","CDM","Argentina","Right","Male",0.00132756331787383,0,7400000,"Centrocampista","Medio (75-79)"
"M. Keane",30,191,82,77,77,8500000,37000,16200000,"Everton","Premier League","SUB","England","Right","Male",0.00208102483716656,0,7700000,"Otros","Medio (75-79)"
"A. Doucouré",30,184,76,77,77,1e+07,40000,19000000,"Everton","Premier League","RCM","Mali","Right","Male",0.00192495187620309,0,9e+06,"Centrocampista","Medio (75-79)"
"Lucas Torró",28,190,77,77,77,9500000,27000,20000000,"Osasuna","La Liga","CDM","Spain","Right","Male",0.00285174623162105,0,10500000,"Centrocampista","Medio (75-79)"
"B. Djimsiti",30,190,83,77,77,8500000,41000,14500000,"Atalanta","Serie A","CB","Albania","Right","Male",0.00187800297553718,0,6e+06,"Defensa","Medio (75-79)"
"A. Januzaj",28,186,76,77,77,10500000,30000,22100000,"Sevilla","La Liga","SUB","Belgium","Left","Male",0.00256658111396287,0,11600000,"Otros","Medio (75-79)"
"Clinton Mata",30,180,73,77,77,9e+06,32000,17100000,"Olympique Lyonnais","Ligue 1","RB","Angola","Right","Male",0.00240617480703728,0,8100000,"Defensa","Medio (75-79)"
"D. Machís",30,174,74,77,77,1e+07,13000,NA,"Cádiz","La Liga","LM","Venezuela","Right","Male",0.00592262133682024,0,NA,"Centrocampista","Medio (75-79)"
"C. Nørgaard",29,187,77,77,77,9e+06,50000,17100000,"Brentford","Premier League","CDM","Denmark","Right","Male",0.00153996920061599,0,8100000,"Centrocampista","Medio (75-79)"
"Emerson",28,176,79,77,77,9500000,59000,18100000,"West Ham United","Premier League","LB","Italy","Left","Male",0.00130506262605719,0,8600000,"Defensa","Medio (75-79)"
"D. Cataldi",28,180,70,77,77,9500000,43000,16200000,"Lazio","Serie A","CDM","Italy","Right","Male",0.00179065603125509,0,6700000,"Centrocampista","Medio (75-79)"
"Bruma",28,173,70,77,77,10500000,17000,21000000,"Sporting Braga","Liga Portugal","LM","Portugal","Right","Male",0.00452914534439151,0,10500000,"Centrocampista","Medio (75-79)"
"André Gomes",29,188,84,77,77,9e+06,38000,17100000,"Everton","Premier League","SUB","Portugal","Right","Male",0.00202626246677719,0,8100000,"Otros","Medio (75-79)"
"D. Kohr",29,183,80,77,77,9e+06,27000,15300000,"FSV Mainz 05","Bundesliga","LCM","Germany","Right","Male",0.00285174623162105,0,6300000,"Centrocampista","Medio (75-79)"
"Y. Gerhardt",29,184,81,77,77,10500000,45000,17900000,"VfL Wolfsburg","Bundesliga","SUB","Germany","Left","Male",0.00171107308726473,0,7400000,"Otros","Medio (75-79)"
"Diego Llorente",29,186,76,77,77,9e+06,43000,NA,"Roma","Serie A","LCB","Spain","Right","Male",0.00179065603125509,0,NA,"Defensa","Medio (75-79)"
"J. Lerma",28,179,70,77,77,9500000,38000,18100000,"Crystal Palace","Premier League","LDM","Colombia","Right","Male",0.00202626246677719,0,8600000,"Otros","Medio (75-79)"
"J. Mojica",30,185,73,77,77,9e+06,29000,NA,"Osasuna","La Liga","LB","Colombia","Left","Male",0.00265508085928071,0,NA,"Defensa","Medio (75-79)"
"J. Correa",28,188,78,77,77,1.1e+07,74000,NA,"Olympique de Marseille","Ligue 1","SUB","Argentina","Right","Male",0.0010405264793719,0,NA,"Otros","Medio (75-79)"
"S. Guirassy",27,187,82,77,77,11500000,28000,20700000,"VfB Stuttgart","Bundesliga","ST","Guinea","Right","Male",0.00274990178922181,0,9200000,"Delantero","Medio (75-79)"
"A. Petagna",28,190,85,77,77,1.1e+07,53000,NA,"Cagliari","Serie A","RS","Italy","Left","Male",0.00145280277730609,0,NA,"Delantero","Medio (75-79)"
"Y. Sabaly",30,173,67,77,77,9e+06,22000,18900000,"Real Betis","La Liga","SUB","Senegal","Right","Male",0.00349984091632199,0,9900000,"Otros","Medio (75-79)"
"M. Sportiello",31,192,87,77,77,5500000,41000,9400000,"Milan","Serie A","SUB","Italy","Right","Male",0.00187800297553718,0,3900000,"Otros","Medio (75-79)"
"I. Bebou",29,185,80,77,77,10500000,39000,17900000,"TSG Hoffenheim","Bundesliga","LS","Togo","Right","Male",0.00197430835106792,0,7400000,"Delantero","Medio (75-79)"
"Paulinho",30,187,88,77,77,10500000,16000,21000000,"Sporting CP","Liga Portugal","SUB","Portugal","Left","Male",0.00481219923754765,0,10500000,"Otros","Medio (75-79)"
"D. Djené",31,178,72,77,77,7e+06,26000,14700000,"Getafe","La Liga","CDM","Togo","Right","Male",0.00296142456059382,0,7700000,"Centrocampista","Medio (75-79)"
"G. Escalante",30,182,76,77,77,1e+07,30000,21000000,"Cádiz","La Liga","RCM","Argentina","Right","Male",0.00256658111396287,0,1.1e+07,"Centrocampista","Medio (75-79)"
"B. Santamaria",28,183,81,77,77,9500000,42000,18100000,"Rennes","Ligue 1","SUB","France","Right","Male",0.00183328968357896,0,8600000,"Otros","Medio (75-79)"
"M. Vecino",31,187,81,77,77,8500000,45000,14500000,"Lazio","Serie A","SUB","Uruguay","Right","Male",0.00171107308726473,0,6e+06,"Otros","Medio (75-79)"
"Diego Rico",30,180,78,77,77,9e+06,29000,NA,"Getafe","La Liga","SUB","Spain","Left","Male",0.00265508085928071,0,NA,"Otros","Medio (75-79)"
"F. Cervi",29,165,62,77,77,10500000,25000,22100000,"Celta de Vigo","La Liga","SUB","Argentina","Left","Male",0.0030798768049278,0,11600000,"Otros","Medio (75-79)"
"W. Weghorst",30,197,84,77,77,10500000,51000,NA,"TSG Hoffenheim","Bundesliga","RS","Netherlands","Right","Male",0.00150977431815062,0,NA,"Delantero","Medio (75-79)"
"J. Bamba",27,175,72,77,77,1.1e+07,24000,23100000,"Celta de Vigo","La Liga","LM","France","Right","Male",0.00320819965834757,0,12100000,"Centrocampista","Medio (75-79)"
"Pablo Fornals",27,178,67,77,77,1.1e+07,61000,20900000,"West Ham United","Premier League","SUB","Spain","Right","Male",0.00126227438894444,0,9900000,"Otros","Medio (75-79)"
"F. Sotoca",32,187,77,77,77,8500000,38000,16200000,"Lens","Ligue 1","SUB","France","Right","Male",0.00202626246677719,0,7700000,"Otros","Medio (75-79)"
"Leander Baia",35,175,71,77,77,3200000,23000,5800000,"Atlético Mineiro","Serie A","RB","Brazil","Right","Male",0.00334768053562889,0,2600000,"Defensa","Medio (75-79)"
"Enzo Chissano",31,165,62,77,77,7500000,34000,13500000,"Palmeiras","Serie A","LB","Brazil","Left","Male",0.00226463927531543,0,6e+06,"Defensa","Medio (75-79)"
"Claudio Coíntra",27,174,71,77,77,1.1e+07,38000,19800000,"Palmeiras","Serie A","CAM","Brazil","Left","Male",0.00202626246677719,0,8800000,"Centrocampista","Medio (75-79)"
"Wagner Laranjo",39,177,77,77,77,2100000,23000,3800000,"Palmeiras","Serie A","RDM","Brazil","Right","Male",0.00334768053562889,0,1700000,"Otros","Medio (75-79)"
"Andeson Trigo",35,175,68,77,77,3200000,16000,6100000,"Fluminense","Serie A","LB","Brazil","Left","Male",0.00481219923754765,0,2900000,"Defensa","Medio (75-79)"
"Jadsinho Mei",27,176,72,77,77,1e+07,34000,18000000,"Flamengo","Serie A","LCM","Brazil","Right","Male",0.00226463927531543,0,8e+06,"Centrocampista","Medio (75-79)"
"Rodrigo Vuarte",31,179,77,77,77,7500000,32000,13500000,"Atlético Mineiro","Serie A","RCM","Brazil","Left","Male",0.00240617480703728,0,6e+06,"Centrocampista","Medio (75-79)"
"Victorio Jabim",27,178,75,77,77,1e+07,34000,18000000,"Palmeiras","Serie A","RB","Brazil","Right","Male",0.00226463927531543,0,8e+06,"Defensa","Medio (75-79)"
"Murildo Kauê",23,178,78,77,77,1.2e+07,33000,21600000,"Palmeiras","Serie A","LM","Brazil","Left","Male",0.0023332626284052,0,9600000,"Centrocampista","Medio (75-79)"
"Sidney Pessinho",31,187,85,77,77,7500000,26000,14300000,"Internacional","Serie A","RCM","Brazil","Right","Male",0.00296142456059382,0,6800000,"Centrocampista","Medio (75-79)"
"Y. Wissa",26,176,74,77,77,11500000,57000,21900000,"Brentford","Premier League","ST","Congo DR","Right","Male",0.00135085349379835,0,10400000,"Delantero","Medio (75-79)"
"J. Pavlenka",31,196,81,77,77,5500000,19000,9900000,"Werder Bremen","Bundesliga","GK","Czech Republic","Right","Male",0.00405241829377401,0,4400000,"Portero","Medio (75-79)"
"J. Juranović",27,173,68,77,77,1e+07,31000,17000000,"FC Union Berlin","Bundesliga","RWB","Croatia","Right","Male",0.0024837908454566,0,7e+06,"Defensa","Medio (75-79)"
"R. Højlund",20,191,79,76,89,1.8e+07,72000,45500000,"Manchester United","Premier League","SUB","Denmark","Left","Male",0.00105554089526534,0.65,27500000,"Otros","Medio (75-79)"
"S. Ricci",21,178,72,76,86,1.6e+07,26000,30400000,"Torino","Serie A","RCM","Italy","Right","Male",0.00292296450136533,0.476190476190476,14400000,"Centrocampista","Medio (75-79)"
"W. Singo",22,190,79,76,85,1.6e+07,34000,33600000,"Monaco","Ligue 1","SUB","Côte d'Ivoire","Right","Male",0.00223522837563601,0.409090909090909,17600000,"Otros","Medio (75-79)"
"M. Gusto",20,179,70,76,85,15500000,53000,32600000,"Chelsea","Premier League","RB","France","Right","Male",0.00143393520876965,0.45,17100000,"Defensa","Medio (75-79)"
"Abel Ruiz",23,180,75,76,84,1.7e+07,14000,37400000,"Sporting Braga","Liga Portugal","ST","Spain","Right","Male",0.0054281837011642,0.347826086956522,20400000,"Delantero","Medio (75-79)"
"O. Solet",23,192,88,76,84,15500000,15000,26400000,"Salzburg","Bundesliga","RCB","France","Right","Male",0.00506632891140591,0.347826086956522,10900000,"Defensa","Medio (75-79)"
"M. Lacroix",23,190,88,76,84,15500000,31000,29500000,"VfL Wolfsburg","Bundesliga","RCB","France","Right","Male",0.00245153382148963,0.347826086956522,1.4e+07,"Defensa","Medio (75-79)"
"N. Seiwald",22,179,70,76,84,1.7e+07,38000,32300000,"RB Leipzig","Bundesliga","SUB","Austria","Right","Male",0.00199994736980606,0.363636363636364,15300000,"Otros","Medio (75-79)"
"A. Varela",21,177,73,76,84,1.6e+07,9000,35200000,"Porto","Liga Portugal","SUB","Argentina","Right","Male",0.00844350627708032,0.380952380952381,19200000,"Otros","Medio (75-79)"
"B. Barcola",20,186,70,76,84,16500000,51000,33800000,"Paris Saint Germain","Ligue 1","RES","France","Right","Male",0.00149016685947334,0.4,17300000,"Otros","Medio (75-79)"
"João Gomes",22,176,74,76,84,1.6e+07,44000,33600000,"Wolverhampton Wanderers","Premier League","RCM","Brazil","Right","Male",0.00172723347196655,0.363636363636364,17600000,"Centrocampista","Medio (75-79)"
"A. Gomes",22,168,56,76,83,1.5e+07,26000,31500000,"Lille","Ligue 1","LDM","England","Right","Male",0.00292296450136533,0.318181818181818,16500000,"Otros","Medio (75-79)"
"M. Damsgaard",22,180,71,76,83,1.5e+07,42000,31500000,"Brentford","Premier League","SUB","Denmark","Right","Male",0.00180948072664937,0.318181818181818,16500000,"Otros","Medio (75-79)"
"N. Okafor",23,185,85,76,83,1.5e+07,50000,28500000,"Milan","Serie A","SUB","Switzerland","Right","Male",0.00151996960060799,0.304347826086957,13500000,"Otros","Medio (75-79)"
"L. Beltrán",22,175,76,76,83,15500000,44000,29500000,"Fiorentina","Serie A","SUB","Argentina","Right","Male",0.00172723347196655,0.318181818181818,1.4e+07,"Otros","Medio (75-79)"
"O. Kossounou",22,191,81,76,83,1.4e+07,34000,26600000,"Bayer 04 Leverkusen","Bundesliga","RCB","Côte d'Ivoire","Right","Male",0.00223522837563601,0.318181818181818,12600000,"Defensa","Medio (75-79)"
"N. Collins",22,193,81,76,83,1.4e+07,38000,29400000,"Brentford","Premier League","SUB","Republic of Ireland","Right","Male",0.00199994736980606,0.318181818181818,15400000,"Otros","Medio (75-79)"
"M. Wieffer",23,188,76,76,83,1.4e+07,13000,22400000,"Feyenoord","Eredivisie","RCM","Netherlands","Right","Male",0.0058457041766018,0.304347826086957,8400000,"Centrocampista","Medio (75-79)"
"B. Johnson",22,179,71,76,83,1.5e+07,63000,31500000,"Tottenham Hotspur","Premier League","SUB","Wales","Right","Male",0.00120633005825304,0.318181818181818,16500000,"Otros","Medio (75-79)"
"C. De Ketelaere",22,192,79,76,83,1.5e+07,45000,NA,"Atalanta","Serie A","SUB","Belgium","Left","Male",0.00168885135885869,0.318181818181818,NA,"Otros","Medio (75-79)"
"B. Brobbey",21,180,78,76,83,15500000,13000,24800000,"Ajax","Eredivisie","ST","Netherlands","Right","Male",0.0058457041766018,0.333333333333333,9300000,"Delantero","Medio (75-79)"
"Nico González",21,188,85,76,83,14500000,9000,31900000,"Porto","Liga Portugal","SUB","Spain","Right","Male",0.00844350627708032,0.333333333333333,17400000,"Otros","Medio (75-79)"
"A. Truffert",21,176,70,76,83,14500000,27000,30500000,"Rennes","Ligue 1","LB","France","Left","Male",0.00281471056627532,0.333333333333333,1.6e+07,"Defensa","Medio (75-79)"
"A. Onana",21,192,76,76,83,14500000,25000,30500000,"Everton","Premier League","LCM","Belgium","Right","Male",0.00303987840486381,0.333333333333333,1.6e+07,"Centrocampista","Medio (75-79)"
"Álex Baena",21,174,69,76,83,1.5e+07,22000,34500000,"Villarreal","La Liga","LCM","Spain","Right","Male",0.00345438843688923,0.333333333333333,19500000,"Centrocampista","Medio (75-79)"
"I. Ilić",22,185,75,76,83,1.5e+07,34000,28500000,"Torino","Serie A","LCM","Serbia","Left","Male",0.00223522837563601,0.318181818181818,13500000,"Centrocampista","Medio (75-79)"
"N. Zalewski",21,175,78,76,83,1.5e+07,38000,28500000,"Roma","Serie A","SUB","Poland","Right","Male",0.00199994736980606,0.333333333333333,13500000,"Otros","Medio (75-79)"
"N. Pérez",23,186,75,76,82,1.1e+07,14000,22000000,"Udinese","Serie A","RCB","Argentina","Right","Male",0.0054281837011642,0.260869565217391,1.1e+07,"Defensa","Medio (75-79)"
"J. Teze",23,183,68,76,82,1.1e+07,14000,17600000,"PSV","Eredivisie","SUB","Netherlands","Right","Male",0.0054281837011642,0.260869565217391,6600000,"Otros","Medio (75-79)"
"L. Barreiro Martins",23,174,68,76,82,1.2e+07,23000,22800000,"FSV Mainz 05","Bundesliga","RCM","Luxembourg","Right","Male",0.0033042041650363,0.260869565217391,10800000,"Centrocampista","Medio (75-79)"
"A. Hickey",21,185,72,76,82,11500000,32000,24200000,"Brentford","Premier League","RB","Scotland","Right","Male",0.00237492578356926,0.285714285714286,12700000,"Defensa","Medio (75-79)"
"David Carmo",23,196,89,76,82,1.1e+07,11000,24200000,"Porto","Liga Portugal","SUB","Portugal","Left","Male",0.00690846286701209,0.260869565217391,13200000,"Otros","Medio (75-79)"
"S. Dest",22,173,68,76,82,11500000,80000,NA,"PSV","Eredivisie","RB","United States","Right","Male",0.000949988125148436,0.272727272727273,NA,"Defensa","Medio (75-79)"
"T. Pobega",23,188,75,76,82,1.2e+07,45000,22800000,"Milan","Serie A","SUB","Italy","Left","Male",0.00168885135885869,0.260869565217391,10800000,"Otros","Medio (75-79)"
"Tiago Djaló",23,190,82,76,82,1.1e+07,24000,23100000,"Lille","Ligue 1","RES","Portugal","Right","Male",0.00316653472771968,0.260869565217391,12100000,"Otros","Medio (75-79)"
"A. Ounahi",23,182,62,76,82,1.2e+07,30000,25200000,"Olympique de Marseille","Ligue 1","LM","Morocco","Right","Male",0.00253324889170361,0.260869565217391,13200000,"Centrocampista","Medio (75-79)"
"Danilo",22,176,69,76,82,1.1e+07,44000,23100000,"Nottingham Forest","Premier League","LCM","Brazil","Left","Male",0.00172723347196655,0.272727272727273,12100000,"Centrocampista","Medio (75-79)"
"N. Dorsch",25,175,76,76,81,1e+07,23000,18800000,"FC Augsburg","Bundesliga","LDM","Germany","Right","Male",0.0033042041650363,0.2,8800000,"Otros","Medio (75-79)"
"E. Cömert",25,183,80,76,81,1e+07,27000,NA,"Nantes","Ligue 1","SUB","Switzerland","Right","Male",0.00281471056627532,0.2,NA,"Otros","Medio (75-79)"
"S. Niakaté",23,186,76,76,81,1e+07,12000,20800000,"Sporting Braga","Liga Portugal","LCB","France","Left","Male",0.00633280559953337,0.217391304347826,10800000,"Defensa","Medio (75-79)"
